Vendedor,País,Produto,Data,Valor,Caixas Enviadas
Camilla Castle,EUA,Barras Finas Picantes,11/02/2022,"$ 1.274,00",244
Marney O'Breen,EUA,Chocolate de Laranja,27/01/2022,"$ 7.595,00",181
Van Tuxwell,Reino Unido,99% Cacau Puro,31/01/2022,"$ 4.725,00",137
Camilla Castle,EUA,Chocolate Branco,18/08/2022,"$ 9.681,00",24
Andria Kimpton,EUA,Chocolate de Framboesa,30/06/2022,"$ 14.504,00",21
Dotty Strutley,Austrália,Barras de Frutas e Castanhas,23/08/2022,"$ 280,00",311
Brien Boise,Nova Zelândia,Chocolate de Menta com Flocos,01/08/2022,"$ 63,00",181
Roddy Speechley,Nova Zelândia,Chocolate de Menta (After Nines),25/05/2022,"$ 8.001,00",10
Roddy Speechley,Canadá,Calda de Chocolate Orgânica,10/01/2022,"$ 4.032,00",82
Dennison Crosswaite,Austrália,Pedacinhos 70% Cacau,07/02/2022,"$ 5.859,00",108
Karlen McCaffrey,EUA,Chocolate de Laranja,12/05/2022,"$ 11.095,00",401
Madelene Upcott,Austrália,Barras Finas Picantes,07/03/2022,"$ 7.182,00",408
Dennison Crosswaite,Austrália,Barras 85% Cacau,05/04/2022,"$ 6.881,00",420
Andria Kimpton,Canadá,Barras Recheadas com Caramelo,03/01/2022,"$ 7.154,00",348
Dennison Crosswaite,Reino Unido,Eclairs,24/03/2022,"$ 6.188,00",270
Madelene Upcott,Índia,Chocolate de Framboesa,07/07/2022,"$ 4.221,00",9
Van Tuxwell,EUA,Chocolate de Menta (After Nines),26/07/2022,"$ 630,00",264
Wilone O'Kielt,Austrália,Calda de Chocolate Orgânica,07/07/2022,"$ 1.743,00",111
Karlen McCaffrey,Canadá,Pedacinhos 50% Cacau,15/07/2022,"$ 2.919,00",65
Roddy Speechley,Nova Zelândia,Chocolate de Laranja,01/04/2022,"$ 49,00",97
Beverie Moffet,Austrália,Eclairs,20/06/2022,"$ 1.827,00",6
Kelci Walkden,Reino Unido,Barras de Frutas e Castanhas,29/06/2022,"$ 13.006,00",482
Marney O'Breen,EUA,Pedacinhos 50% Cacau,15/06/2022,"$ 1.064,00",106
Husein Augar,EUA,Chocolate de Menta (After Nines),08/04/2022,"$ 11.571,00",180
Dennison Crosswaite,Austrália,Chocolate de Framboesa,14/03/2022,"$ 5.740,00",31
Andria Kimpton,EUA,Barras de Frutas e Castanhas,15/07/2022,"$ 1.456,00",359
Kelci Walkden,Índia,Eclairs,19/04/2022,"$ 5.334,00",80
Marney O'Breen,EUA,99% Cacau Puro,28/03/2022,"$ 4.151,00",296
Brien Boise,Canadá,Barras Finas Picantes,04/03/2022,"$ 8.106,00",101
Karlen McCaffrey,Nova Zelândia,Pedacinhos 70% Cacau,02/08/2022,"$ 126,00",40
Husein Augar,Reino Unido,Barras Finas Picantes,25/08/2022,"$ 4.697,00",42
Marney O'Breen,EUA,Chocolate com Amêndoas,25/02/2022,"$ 7.798,00",167
Kelci Walkden,Índia,Chocolate de Laranja,07/06/2022,"$ 9.408,00",138
Jan Morforth,Índia,Barras Finas Picantes,12/04/2022,"$ 1.939,00",520
Ches Bonnell,Índia,Barras Finas Picantes,06/07/2022,"$ 10.906,00",94
Kelci Walkden,Reino Unido,Chocolate Salgado Suave,19/01/2022,"$ 5.929,00",175
Madelene Upcott,Austrália,Barras de Frutas e Castanhas,05/01/2022,"$ 5.579,00",92
Madelene Upcott,Canadá,Pedacinhos 70% Cacau,24/01/2022,"$ 10.927,00",141
Wilone O'Kielt,Austrália,Chocolate para Beber,06/04/2022,"$ 623,00",283
Gunar Cockshoot,Austrália,Barras de Frutas e Castanhas,15/06/2022,"$ 6.013,00",21
Gigi Bohling,Canadá,Gotas de Chocolate Culinário,28/01/2022,"$ 1.505,00",47
Kelci Walkden,Índia,Barras Recheadas com Caramelo,16/03/2022,"$ 476,00",125
Rafaelita Blaksland,Austrália,Chocolate para Beber,21/02/2022,"$ 11.550,00",396
Kelci Walkden,EUA,Chocolate com Mel de Manuka,16/02/2022,"$ 17.318,00",87
Jehu Rudeforth,Canadá,Barras Finas Picantes,13/01/2022,"$ 1.848,00",27
Kelci Walkden,Austrália,Eclairs,23/03/2022,"$ 7.273,00",547
Curtice Advani,Canadá,Barras Finas Picantes,16/06/2022,"$ 854,00",118
Oby Sorrel,Índia,Chocolate de Framboesa,14/04/2022,"$ 6.832,00",46
Kelci Walkden,Reino Unido,Eclairs,25/01/2022,"$ 4.606,00",57
Jan Morforth,Índia,Chocolate com Amêndoas,11/03/2022,"$ 4.466,00",22
Dotty Strutley,Reino Unido,Chocolate com Amêndoas,28/07/2022,"$ 16.114,00",96
Marney O'Breen,Nova Zelândia,Chocolate de Menta (After Nines),09/03/2022,"$ 1.561,00",44
Husein Augar,Austrália,Chocolate de Laranja,28/06/2022,"$ 8.897,00",188
Marney O'Breen,Austrália,Barras de Chocolate ao Leite,28/07/2022,"$ 2.464,00",387
Kelci Walkden,Canadá,99% Cacau Puro,15/08/2022,"$ 4.830,00",50
Kaine Padly,Austrália,Chocolate com Mel de Manuka,12/01/2022,"$ 2.765,00",264
Beverie Moffet,Nova Zelândia,Chocolate Branco,24/03/2022,"$ 7.126,00",7
Van Tuxwell,Reino Unido,Barras de Chocolate ao Leite,25/07/2022,"$ 4.263,00",90
Oby Sorrel,Canadá,99% Cacau Puro,01/08/2022,"$ 3.605,00",403
Van Tuxwell,Índia,Calda de Chocolate Orgânica,16/05/2022,"$ 19.929,00",174
Roddy Speechley,Índia,Chocolate Salgado Suave,10/08/2022,"$ 5.103,00",140
Jan Morforth,Índia,Eclairs,05/01/2022,"$ 2.541,00",27
Ches Bonnell,Reino Unido,Chocolate Salgado Suave,11/07/2022,"$ 5.663,00",110
Wilone O'Kielt,EUA,Chocolate de Menta (After Nines),25/04/2022,"$ 392,00",30
Gigi Bohling,Nova Zelândia,Barras de Frutas e Castanhas,04/04/2022,"$ 10.976,00",121
Barr Faughny,EUA,Chocolate de Framboesa,12/04/2022,"$ 9.282,00",101
Wilone O'Kielt,Nova Zelândia,Barras 85% Cacau,02/08/2022,"$ 1.827,00",117
Gigi Bohling,Nova Zelândia,Chocolate com Mel de Manuka,28/06/2022,"$ 8.267,00",272
Ches Bonnell,Austrália,Eclairs,05/07/2022,"$ 4.116,00",128
Rafaelita Blaksland,Nova Zelândia,Amêndoas Cobertas com Chocolate,07/06/2022,"$ 2.093,00",45
Brien Boise,Nova Zelândia,Chocolate Salgado Suave,18/01/2022,"$ 1.015,00",27
Brien Boise,Austrália,Gotas de Chocolate Culinário,04/01/2022,"$ 12.516,00",212
Dennison Crosswaite,Austrália,99% Cacau Puro,31/01/2022,"$ 2.758,00",18
Kelci Walkden,Índia,Chocolate com Amêndoas,14/03/2022,"$ 3.297,00",149
Camilla Castle,Austrália,Pedacinhos 70% Cacau,29/04/2022,"$ 6.048,00",477
Oby Sorrel,Índia,Chocolate Salgado Suave,07/02/2022,"$ 10.101,00",108
Kaine Padly,Reino Unido,Calda de Chocolate Orgânica,31/03/2022,"$ 2.282,00",178
Marney O'Breen,Índia,Barras Recheadas com Caramelo,16/03/2022,"$ 4.361,00",81
Karlen McCaffrey,Reino Unido,Eclairs,25/01/2022,"$ 7.798,00",196
Van Tuxwell,Índia,Gotas de Chocolate Culinário,20/06/2022,"$ 3.052,00",447
Gigi Bohling,Reino Unido,Chocolate de Menta (After Nines),29/03/2022,"$ 8.029,00",175
Curtice Advani,Austrália,Chocolate de Laranja,12/07/2022,"$ 854,00",136
Jehu Rudeforth,Canadá,Chocolate Salgado Suave,11/07/2022,"$ 5.460,00",138
Karlen McCaffrey,Canadá,Chocolate Salgado Suave,19/01/2022,"$ 3.017,00",184
Andria Kimpton,EUA,Barras 85% Cacau,05/04/2022,"$ 8.911,00",82
Jehu Rudeforth,Canadá,Barras de Chocolate ao Leite,21/02/2022,"$ 7.203,00",12
Rafaelita Blaksland,Nova Zelândia,Barras Recheadas com Caramelo,20/05/2022,"$ 13.083,00",14
Mallorie Waber,Austrália,Barras de Chocolate ao Leite,29/07/2022,"$ 2.779,00",104
Barr Faughny,EUA,Barras de Frutas e Castanhas,28/01/2022,"$ 9.058,00",46
Marney O'Breen,Reino Unido,Barras Recheadas com Caramelo,19/07/2022,"$ 3.549,00",112
Mallorie Waber,Nova Zelândia,Chocolate com Mel de Manuka,13/04/2022,"$ 9.436,00",11
Roddy Speechley,Índia,Cubos de Manteiga de Amendoim,11/02/2022,"$ 10.283,00",21
Roddy Speechley,Nova Zelândia,Barras de Chocolate ao Leite,02/03/2022,"$ 5.446,00",116
Ches Bonnell,Austrália,Chocolate Branco,02/03/2022,"$ 1.043,00",202
Van Tuxwell,EUA,99% Cacau Puro,28/07/2022,"$ 12.586,00",6
Kelci Walkden,Índia,Chocolate de Menta (After Nines),07/01/2022,"$ 1.687,00",520
Brien Boise,Reino Unido,Chocolate Branco,12/04/2022,"$ 5.299,00",167
Van Tuxwell,Canadá,Chocolate com Amêndoas,27/06/2022,"$ 3.213,00",72
Jehu Rudeforth,Austrália,Pedacinhos 50% Cacau,14/01/2022,"$ 5.194,00",418
Karlen McCaffrey,Reino Unido,Gotas de Chocolate Culinário,07/02/2022,"$ 4.753,00",389
Jehu Rudeforth,Austrália,Chocolate de Laranja,23/03/2022,"$ 13.706,00",26
Marney O'Breen,Índia,Cubos de Manteiga de Amendoim,10/01/2022,"$ 6.489,00",146
Oby Sorrel,Reino Unido,Amêndoas Cobertas com Chocolate,17/03/2022,"$ 9.324,00",41
Gigi Bohling,EUA,Barras Finas Picantes,21/01/2022,"$ 10.829,00",54
Barr Faughny,Austrália,Chocolate Branco,04/07/2022,"$ 8.113,00",370
Kaine Padly,Canadá,Cubos de Manteiga de Amendoim,04/07/2022,"$ 3.269,00",176
Dotty Strutley,EUA,Chocolate com Mel de Manuka,10/08/2022,"$ 273,00",210
Dennison Crosswaite,Austrália,Pedacinhos 50% Cacau,01/04/2022,"$ 7.287,00",12
Gigi Bohling,Índia,Chocolate de Framboesa,22/02/2022,"$ 2.583,00",159
Camilla Castle,Reino Unido,Chocolate Branco,03/01/2022,"$ 9.982,00",187
Karlen McCaffrey,Índia,Chocolate para Beber,31/05/2022,"$ 4.795,00",233
Dotty Strutley,Reino Unido,99% Cacau Puro,03/01/2022,"$ 9.310,00",282
Husein Augar,Nova Zelândia,Barras Recheadas com Caramelo,27/01/2022,"$ 497,00",475
Barr Faughny,Reino Unido,Pedacinhos 50% Cacau,28/01/2022,"$ 581,00",65
Curtice Advani,Austrália,Calda de Chocolate Orgânica,28/06/2022,"$ 3.472,00",311
Husein Augar,Reino Unido,Amêndoas Cobertas com Chocolate,02/03/2022,"$ 4.333,00",43
Wilone O'Kielt,Austrália,Chocolate de Menta (After Nines),27/05/2022,"$ 3.325,00",26
Dennison Crosswaite,EUA,Chocolate com Amêndoas,30/06/2022,"$ 11.718,00",84
Barr Faughny,Canadá,Cubos de Manteiga de Amendoim,07/06/2022,"$ 2.100,00",78
Kaine Padly,EUA,Pedacinhos 70% Cacau,12/05/2022,"$ 4.018,00",100
Barr Faughny,Nova Zelândia,Chocolate de Framboesa,29/07/2022,"$ 6.468,00",66
Dennison Crosswaite,Reino Unido,Chocolate Branco,03/08/2022,"$ 7.238,00",265
Barr Faughny,Índia,Gotas de Chocolate Culinário,18/08/2022,"$ 6.454,00",141
Van Tuxwell,Nova Zelândia,Chocolate Salgado Suave,14/06/2022,"$ 3.115,00",42
Beverie Moffet,Reino Unido,Chocolate Branco,30/06/2022,"$ 6.475,00",76
Camilla Castle,Nova Zelândia,Chocolate de Menta com Flocos,13/06/2022,"$ 1.162,00",190
Ches Bonnell,Reino Unido,Chocolate de Laranja,27/04/2022,"$ 14.238,00",54
Jan Morforth,Austrália,Chocolate Branco,27/07/2022,"$ 3.472,00",32
Mallorie Waber,Canadá,Barras 85% Cacau,20/04/2022,"$ 1.428,00",424
Rafaelita Blaksland,Índia,Barras Finas Picantes,04/01/2022,"$ 8.064,00",134
Ches Bonnell,Austrália,Chocolate de Menta com Flocos,21/02/2022,"$ 9.660,00",92
Karlen McCaffrey,Austrália,Chocolate Branco,05/01/2022,"$ 7.357,00",48
Beverie Moffet,Índia,Chocolate para Beber,15/07/2022,"$ 6.055,00",46
Brien Boise,Austrália,Amêndoas Cobertas com Chocolate,25/05/2022,"$ 5.124,00",62
Karlen McCaffrey,Canadá,Eclairs,20/04/2022,"$ 3.479,00",358
Gigi Bohling,EUA,99% Cacau Puro,02/06/2022,"$ 784,00",249
Marney O'Breen,Reino Unido,Chocolate Salgado Suave,13/05/2022,"$ 18.991,00",88
Beverie Moffet,Nova Zelândia,Gotas de Chocolate Culinário,03/08/2022,"$ 1.372,00",144
Beverie Moffet,Austrália,Barras de Chocolate ao Leite,25/05/2022,"$ 735,00",390
Van Tuxwell,Reino Unido,Chocolate de Framboesa,16/03/2022,"$ 6.538,00",79
Jan Morforth,Austrália,Chocolate de Laranja,04/07/2022,"$ 3.199,00",122
Jehu Rudeforth,Índia,Pedacinhos 50% Cacau,05/07/2022,"$ 3.472,00",135
Madelene Upcott,EUA,Chocolate de Menta (After Nines),15/03/2022,"$ 4.571,00",430
Barr Faughny,Reino Unido,Chocolate de Framboesa,22/08/2022,"$ 5.481,00",69
Ches Bonnell,Austrália,Pedacinhos 70% Cacau,12/01/2022,"$ 3.136,00",125
Marney O'Breen,Reino Unido,Gotas de Chocolate Culinário,10/06/2022,"$ 252,00",154
Kaine Padly,Austrália,Cubos de Manteiga de Amendoim,25/03/2022,"$ 5.460,00",286
Rafaelita Blaksland,Índia,Chocolate com Amêndoas,27/07/2022,"$ 3.395,00",99
Husein Augar,Reino Unido,Barras Recheadas com Caramelo,15/04/2022,"$ 14.938,00",433
Roddy Speechley,Índia,Chocolate de Laranja,27/06/2022,"$ 4.053,00",19
Jehu Rudeforth,Reino Unido,Pedacinhos 70% Cacau,14/04/2022,"$ 5.565,00",258
Husein Augar,Austrália,Chocolate com Mel de Manuka,15/03/2022,"$ 7.161,00",92
Madelene Upcott,EUA,Eclairs,18/03/2022,"$ 8.883,00",200
Brien Boise,Índia,Eclairs,29/04/2022,"$ 1.351,00",61
Mallorie Waber,Nova Zelândia,Chocolate Branco,25/02/2022,"$ 3.171,00",246
Husein Augar,EUA,Barras de Chocolate ao Leite,02/03/2022,"$ 854,00",56
Van Tuxwell,Austrália,Barras de Chocolate ao Leite,20/06/2022,"$ 7.910,00",87
Beverie Moffet,Canadá,Chocolate Branco,15/07/2022,"$ 9.275,00",173
Dotty Strutley,Austrália,Pedacinhos 50% Cacau,12/05/2022,"$ 3.108,00",252
Mallorie Waber,Nova Zelândia,Calda de Chocolate Orgânica,01/07/2022,"$ 5.075,00",256
Husein Augar,EUA,Barras 85% Cacau,08/08/2022,"$ 378,00",54
Madelene Upcott,Austrália,Pedacinhos 50% Cacau,25/07/2022,"$ 7.350,00",6
Wilone O'Kielt,Reino Unido,Chocolate para Beber,18/05/2022,"$ 3.388,00",55
Camilla Castle,Índia,Cubos de Manteiga de Amendoim,15/07/2022,"$ 11.837,00",277
Curtice Advani,Índia,Pedacinhos 70% Cacau,05/07/2022,"$ 2.282,00",44
Mallorie Waber,EUA,Chocolate com Mel de Manuka,04/07/2022,"$ 5.425,00",96
Dotty Strutley,Reino Unido,Pedacinhos 70% Cacau,20/06/2022,"$ 1.267,00",216
Gunar Cockshoot,Austrália,Chocolate com Amêndoas,25/01/2022,"$ 3.752,00",424
Kaine Padly,Nova Zelândia,Barras Finas Picantes,01/07/2022,"$ 7.728,00",37
Gigi Bohling,EUA,Pedacinhos 50% Cacau,13/04/2022,"$ 2.296,00",59
Beverie Moffet,Reino Unido,Chocolate Salgado Suave,04/05/2022,"$ 4.403,00",76
Beverie Moffet,Austrália,Gotas de Chocolate Culinário,04/08/2022,"$ 3.192,00",109
Beverie Moffet,Índia,Pedacinhos 70% Cacau,01/06/2022,"$ 448,00",146
Jehu Rudeforth,Reino Unido,Amêndoas Cobertas com Chocolate,22/04/2022,"$ 4.270,00",185
Kaine Padly,EUA,Pedacinhos 50% Cacau,03/08/2022,"$ 70,00",27
Ches Bonnell,EUA,Chocolate de Laranja,10/06/2022,"$ 1.743,00",69
Gunar Cockshoot,Reino Unido,Chocolate com Mel de Manuka,27/06/2022,"$ 6.762,00",46
Marney O'Breen,Austrália,Chocolate Salgado Suave,03/01/2022,"$ 3.745,00",170
Marney O'Breen,Índia,Chocolate de Menta (After Nines),11/07/2022,"$ 2.639,00",179
Ches Bonnell,Nova Zelândia,Barras de Chocolate ao Leite,17/08/2022,"$ 4.389,00",126
Rafaelita Blaksland,EUA,Barras de Frutas e Castanhas,18/01/2022,"$ 2.604,00",65
Ches Bonnell,Índia,Calda de Chocolate Orgânica,08/03/2022,"$ 16.569,00",99
Mallorie Waber,Austrália,Chocolate de Laranja,07/03/2022,"$ 14.658,00",275
Husein Augar,Índia,Pedacinhos 70% Cacau,09/05/2022,"$ 6.454,00",157
Barr Faughny,Nova Zelândia,Barras 85% Cacau,23/05/2022,"$ 2.100,00",157
Madelene Upcott,Reino Unido,Barras Recheadas com Caramelo,15/04/2022,"$ 161,00",145
Gigi Bohling,Austrália,Chocolate para Beber,27/07/2022,"$ 2.807,00",139
Marney O'Breen,Canadá,Amêndoas Cobertas com Chocolate,22/08/2022,"$ 2.639,00",406
Ches Bonnell,EUA,Pedacinhos 70% Cacau,11/05/2022,"$ 4.571,00",122
Madelene Upcott,Índia,Calda de Chocolate Orgânica,26/01/2022,"$ 4.781,00",38
Barr Faughny,EUA,Pedacinhos 50% Cacau,14/04/2022,"$ 13.034,00",117
Dennison Crosswaite,Nova Zelândia,Chocolate de Menta com Flocos,05/04/2022,"$ 6.454,00",417
Marney O'Breen,Nova Zelândia,Chocolate Salgado Suave,14/06/2022,"$ 8.484,00",57
Brien Boise,Canadá,Chocolate com Amêndoas,13/04/2022,"$ 4.781,00",125
Beverie Moffet,Austrália,Chocolate Branco,27/06/2022,"$ 2.240,00",166
Dotty Strutley,Austrália,Eclairs,26/01/2022,"$ 6.979,00",3
Barr Faughny,Reino Unido,Chocolate Branco,05/07/2022,"$ 1.652,00",72
Beverie Moffet,Canadá,Gotas de Chocolate Culinário,11/01/2022,"$ 13.447,00",95
Kelci Walkden,EUA,Chocolate Branco,07/03/2022,"$ 9.422,00",22
Kaine Padly,Canadá,Pedacinhos 50% Cacau,04/03/2022,"$ 8.687,00",100
Karlen McCaffrey,Canadá,Calda de Chocolate Orgânica,15/07/2022,"$ 2.415,00",312
Kaine Padly,Reino Unido,Cubos de Manteiga de Amendoim,11/05/2022,"$ 6.272,00",86
Karlen McCaffrey,EUA,Barras de Chocolate ao Leite,27/01/2022,"$ 4.389,00",7
Karlen McCaffrey,Índia,Chocolate de Laranja,27/06/2022,"$ 3.122,00",149
Ches Bonnell,Índia,Chocolate Salgado Suave,03/08/2022,"$ 8.043,00",18
Wilone O'Kielt,Nova Zelândia,Chocolate de Menta com Flocos,19/08/2022,"$ 11.662,00",242
Wilone O'Kielt,Austrália,Barras de Frutas e Castanhas,15/06/2022,"$ 392,00",102
Dennison Crosswaite,Reino Unido,Cubos de Manteiga de Amendoim,07/02/2022,"$ 8.925,00",158
Karlen McCaffrey,Austrália,Chocolate com Amêndoas,08/07/2022,"$ 7.294,00",128
Dennison Crosswaite,Índia,Barras de Chocolate ao Leite,21/04/2022,"$ 1.526,00",96
Ches Bonnell,Reino Unido,Chocolate de Menta com Flocos,08/04/2022,"$ 2.688,00",209
Husein Augar,Austrália,Pedacinhos 50% Cacau,19/08/2022,"$ 14.889,00",52
Jan Morforth,Índia,Barras de Frutas e Castanhas,04/05/2022,"$ 2.912,00",55
Mallorie Waber,EUA,Barras 85% Cacau,11/05/2022,"$ 2.632,00",108
Mallorie Waber,EUA,Eclairs,22/03/2022,"$ 6.328,00",51
Dennison Crosswaite,Canadá,Barras Finas Picantes,10/08/2022,"$ 2.527,00",216
Dennison Crosswaite,EUA,Barras de Frutas e Castanhas,04/05/2022,"$ 1.414,00",318
Kelci Walkden,EUA,99% Cacau Puro,18/08/2022,"$ 7.714,00",238
Dotty Strutley,Canadá,Chocolate de Framboesa,03/08/2022,"$ 4.347,00",238
Marney O'Breen,Nova Zelândia,Barras de Chocolate ao Leite,14/01/2022,"$ 7.490,00",315
Madelene Upcott,Austrália,Amêndoas Cobertas com Chocolate,08/04/2022,"$ 2.058,00",72
Kelci Walkden,Reino Unido,Chocolate de Laranja,01/08/2022,"$ 3.640,00",3
Dennison Crosswaite,Canadá,Eclairs,15/03/2022,"$ 455,00",45
Karlen McCaffrey,Índia,Chocolate de Menta com Flocos,15/07/2022,"$ 10.990,00",184
